best_data,std_dev,routing pass,layout pass,coupling map,lookahead
"{'depth': 307, 'depth_ratio': 3.07, 'time': 56.132203102111816, 'cx_gates': 1788, 'num_gates': 1789}","{'depth': 16.88, 'depth_ratio': 0.1688, 'time': 4.517, 'cx_gates': 328.8, 'num_gates': 328.8}",sabre_v020_look_24_beam_10,sabre_v020,hex_127,24
"{'depth': 304, 'depth_ratio': 3.04, 'time': 58.559762954711914, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.85, 'depth_ratio': 0.1785, 'time': 4.205, 'cx_gates': 328.1, 'num_gates': 328.1}",sabre_v020_look_25_beam_10,sabre_v020,hex_127,25
"{'depth': 304, 'depth_ratio': 3.04, 'time': 60.94358706474304, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.85, 'depth_ratio': 0.1785, 'time': 4.562, 'cx_gates': 328.1, 'num_gates': 328.1}",sabre_v020_look_26_beam_10,sabre_v020,hex_127,26
"{'depth': 304, 'depth_ratio': 3.04, 'time': 63.91706585884094, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.85, 'depth_ratio': 0.1785, 'time': 5.001, 'cx_gates': 328.1, 'num_gates': 328.1}",sabre_v020_look_27_beam_10,sabre_v020,hex_127,27
"{'depth': 304, 'depth_ratio': 3.04, 'time': 66.37112879753113, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.85, 'depth_ratio': 0.1785, 'time': 5.021, 'cx_gates': 328.1, 'num_gates': 328.1}",sabre_v020_look_28_beam_10,sabre_v020,hex_127,28
"{'depth': 304, 'depth_ratio': 3.04, 'time': 69.45810317993164, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.85, 'depth_ratio': 0.1785, 'time': 5.235, 'cx_gates': 328.1, 'num_gates': 328.1}",sabre_v020_look_29_beam_10,sabre_v020,hex_127,29
"{'depth': 304, 'depth_ratio': 3.04, 'time': 72.18546915054321, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.85, 'depth_ratio': 0.1785, 'time': 5.016, 'cx_gates': 328.1, 'num_gates': 328.1}",sabre_v020_look_30_beam_10,sabre_v020,hex_127,30
"{'depth': 304, 'depth_ratio': 3.04, 'time': 73.96165704727173, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.85, 'depth_ratio': 0.1785, 'time': 5.3, 'cx_gates': 328.1, 'num_gates': 328.1}",sabre_v020_look_31_beam_10,sabre_v020,hex_127,31
"{'depth': 304, 'depth_ratio': 3.04, 'time': 78.19466781616211, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 5.144, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_32_beam_10,sabre_v020,hex_127,32
"{'depth': 304, 'depth_ratio': 3.04, 'time': 80.46275091171265, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 4.888, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_33_beam_10,sabre_v020,hex_127,33
"{'depth': 304, 'depth_ratio': 3.04, 'time': 82.58523607254028, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 4.967, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_34_beam_10,sabre_v020,hex_127,34
"{'depth': 304, 'depth_ratio': 3.04, 'time': 85.28061985969543, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 4.629, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_35_beam_10,sabre_v020,hex_127,35
"{'depth': 304, 'depth_ratio': 3.04, 'time': 88.11075615882874, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 4.814, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_36_beam_10,sabre_v020,hex_127,36
"{'depth': 304, 'depth_ratio': 3.04, 'time': 91.14659118652344, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 4.779, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_37_beam_10,sabre_v020,hex_127,37
"{'depth': 307, 'depth_ratio': 3.07, 'time': 93.1996738910675, 'cx_gates': 1788, 'num_gates': 1789}","{'depth': 16.57, 'depth_ratio': 0.1657, 'time': 4.851, 'cx_gates': 364.2, 'num_gates': 364.2}",sabre_v020_look_38_beam_10,sabre_v020,hex_127,38
"{'depth': 307, 'depth_ratio': 3.07, 'time': 96.10778999328613, 'cx_gates': 1788, 'num_gates': 1789}","{'depth': 16.57, 'depth_ratio': 0.1657, 'time': 4.787, 'cx_gates': 364.2, 'num_gates': 364.2}",sabre_v020_look_39_beam_10,sabre_v020,hex_127,39
"{'depth': 307, 'depth_ratio': 3.07, 'time': 99.29496908187866, 'cx_gates': 1788, 'num_gates': 1789}","{'depth': 16.57, 'depth_ratio': 0.1657, 'time': 4.813, 'cx_gates': 364.2, 'num_gates': 364.2}",sabre_v020_look_40_beam_10,sabre_v020,hex_127,40
"{'depth': 307, 'depth_ratio': 3.07, 'time': 101.66958093643188, 'cx_gates': 1788, 'num_gates': 1789}","{'depth': 16.57, 'depth_ratio': 0.1657, 'time': 4.588, 'cx_gates': 364.2, 'num_gates': 364.2}",sabre_v020_look_41_beam_10,sabre_v020,hex_127,41
"{'depth': 304, 'depth_ratio': 3.04, 'time': 104.22471189498901, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 5.359, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_42_beam_10,sabre_v020,hex_127,42
"{'depth': 304, 'depth_ratio': 3.04, 'time': 106.93082475662231, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 4.291, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_43_beam_10,sabre_v020,hex_127,43
"{'depth': 304, 'depth_ratio': 3.04, 'time': 112.54327392578125, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 4.953, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_44_beam_10,sabre_v020,hex_127,44
"{'depth': 304, 'depth_ratio': 3.04, 'time': 114.0226559638977, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 4.45, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_45_beam_10,sabre_v020,hex_127,45
"{'depth': 304, 'depth_ratio': 3.04, 'time': 114.33757591247559, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 3.704, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_46_beam_10,sabre_v020,hex_127,46
"{'depth': 304, 'depth_ratio': 3.04, 'time': 118.74735498428345, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 4.587, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_47_beam_10,sabre_v020,hex_127,47
"{'depth': 304, 'depth_ratio': 3.04, 'time': 119.6278350353241, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 4.038, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_48_beam_10,sabre_v020,hex_127,48
"{'depth': 304, 'depth_ratio': 3.04, 'time': 121.34567594528198, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 4.112, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_49_beam_10,sabre_v020,hex_127,49
"{'depth': 304, 'depth_ratio': 3.04, 'time': 125.5592041015625, 'cx_gates': 1785, 'num_gates': 1786}","{'depth': 17.62, 'depth_ratio': 0.1762, 'time': 4.274, 'cx_gates': 363.4, 'num_gates': 363.4}",sabre_v020_look_50_beam_10,sabre_v020,hex_127,50
