depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp,num_iter
948,3093,3.0255348682403564,48.95,19.73,0.3884,0,5,1,sabre_025_extended,sabre_layout,1
993,3111,2.261652946472168,226.8,144.9,0.1795,0,5,1,sabre_025_extended,sabre_layout,1
1095,3354,2.163435935974121,246.1,82.01,0.3277,0,5,1,sabre_025_extended,sabre_layout,1
1125,3540,2.988952159881592,229.1,196.3,0.3073,0,5,1,sabre_025_extended,sabre_layout,1
1089,3453,3.139145851135254,267.1,57.18,0.3608,0,5,1,sabre_025_extended,sabre_layout,1
1062,3363,3.257004976272583,28.3,27.25,0.4092,0,5,1,sabre_025_extended,sabre_layout,1
1176,3600,2.929542064666748,158.7,138.4,0.2164,0,5,1,sabre_025_extended,sabre_layout,1
1119,3420,3.049251079559326,182.3,166.5,0.2715,0,5,1,sabre_025_extended,sabre_layout,1
1083,3465,2.6331489086151123,31.78,42.29,0.3277,0,5,1,sabre_025_extended,sabre_layout,1
1176,3486,2.459357261657715,181.2,84.17,0.4026,0,5,1,sabre_025_extended,sabre_layout,1
1044,3456,2.436879873275757,215.4,63.76,0.2537,0,5,1,sabre_025_extended,sabre_layout,1
1110,3555,2.5015921592712402,233.6,188.2,0.09781,0,5,1,sabre_025_extended,sabre_layout,1
