depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter,qc_label
97,128,0.9903578758239746,0,0,0,0,sabre_v0_20_dive,fast_layout,0,5,1,1,1,2
136,465,18.419950008392334,0,0,0,0,sabre_v0_20_dive,fast_layout,0,5,1,1,1,3
136,465,18.053147792816162,0,0,0,0,sabre_v0_20_dive,fast_layout,0,5,1,1,1,4
360,1161,160.46494483947754,0,0,0,0,sabre_v0_20_dive,fast_layout,0,5,1,1,1,5
156,312,11.352274894714355,0,0,0,0,sabre_v0_20_dive,fast_layout,0,5,1,1,1,6
490,1308,96.97015309333801,0,0,0,0,sabre_v0_20_dive,fast_layout,0,5,1,1,1,7
71,349,7.079908132553101,0,0,0,0,sabre_v0_20_dive,fast_layout,0,5,1,1,1,8
96,306,10.128171920776367,0,0,0,0,sabre_v0_20_dive,fast_layout,0,5,1,1,1,9
186,222,3.7196779251098633,0,0,0,0,sabre_v0_20_dive,fast_layout,0,7,1,1,1,0
72,175,3.405334949493408,0,0,0,0,sabre_v0_20_dive,fast_layout,0,7,1,1,1,1
95,173,1.570788860321045,0,0,0,0,sabre_v0_20_dive,fast_layout,0,7,1,1,1,2
136,465,26.053399085998535,0,0,0,0,sabre_v0_20_dive,fast_layout,0,7,1,1,1,3
136,465,26.001981019973755,0,0,0,0,sabre_v0_20_dive,fast_layout,0,7,1,1,1,4
362,1164,221.1981132030487,0,0,0,0,sabre_v0_20_dive,fast_layout,0,7,1,1,1,5
156,312,16.345817804336548,0,0,0,0,sabre_v0_20_dive,fast_layout,0,7,1,1,1,6
490,1302,135.78543305397034,0,0,0,0,sabre_v0_20_dive,fast_layout,0,7,1,1,1,7
71,349,10.034013986587524,0,0,0,0,sabre_v0_20_dive,fast_layout,0,7,1,1,1,8
96,306,14.309415817260742,0,0,0,0,sabre_v0_20_dive,fast_layout,0,7,1,1,1,9
186,222,4.6293230056762695,0,0,0,0,sabre_v0_20_dive,fast_layout,0,9,1,1,1,0
72,217,4.387825965881348,0,0,0,0,sabre_v0_20_dive,fast_layout,0,9,1,1,1,1
95,173,1.9716460704803467,0,0,0,0,sabre_v0_20_dive,fast_layout,0,9,1,1,1,2
136,465,33.28683876991272,0,0,0,0,sabre_v0_20_dive,fast_layout,0,9,1,1,1,3
136,465,33.1171019077301,0,0,0,0,sabre_v0_20_dive,fast_layout,0,9,1,1,1,4
362,1158,283.4008469581604,0,0,0,0,sabre_v0_20_dive,fast_layout,0,9,1,1,1,5
164,318,24.01739811897278,0,0,0,0,sabre_v0_20_dive,fast_layout,0,9,1,1,1,6
490,1302,237.0366861820221,0,0,0,0,sabre_v0_20_dive,fast_layout,0,9,1,1,1,7
71,337,12.930594205856323,0,0,0,0,sabre_v0_20_dive,fast_layout,0,9,1,1,1,8
96,306,18.25962805747986,0,0,0,0,sabre_v0_20_dive,fast_layout,0,9,1,1,1,9
186,222,5.147828817367554,0,0,0,0,sabre_v0_20_dive,fast_layout,0,10,1,1,1,0
72,217,4.8444318771362305,0,0,0,0,sabre_v0_20_dive,fast_layout,0,10,1,1,1,1
94,176,2.145893096923828,0,0,0,0,sabre_v0_20_dive,fast_layout,0,10,1,1,1,2
136,465,37.063146114349365,0,0,0,0,sabre_v0_20_dive,fast_layout,0,10,1,1,1,3
136,465,37.08499503135681,0,0,0,0,sabre_v0_20_dive,fast_layout,0,10,1,1,1,4
362,1158,308.4744236469269,0,0,0,0,sabre_v0_20_dive,fast_layout,0,10,1,1,1,5
107,243,16.42646813392639,0,0,0,0,sabre_v0_20_dive,fast_layout,0,10,1,1,1,6
494,1326,195.0776607990265,0,0,0,0,sabre_v0_20_dive,fast_layout,0,10,1,1,1,7
71,337,14.097028255462646,0,0,0,0,sabre_v0_20_dive,fast_layout,0,10,1,1,1,8
96,306,20.97986626625061,0,0,0,0,sabre_v0_20_dive,fast_layout,0,10,1,1,1,9
188,240,7.966684103012085,0,0,0,0,sabre_v0_20_dive,fast_layout,0,15,1,1,1,0
69,202,6.955140113830566,0,0,0,0,sabre_v0_20_dive,fast_layout,0,15,1,1,1,1
92,176,3.1667988300323486,0,0,0,0,sabre_v0_20_dive,fast_layout,0,15,1,1,1,2
132,504,48.300363063812256,0,0,0,0,sabre_v0_20_dive,fast_layout,0,15,1,1,1,3
132,504,48.59733200073242,0,0,0,0,sabre_v0_20_dive,fast_layout,0,15,1,1,1,4
378,1155,475.4466619491577,0,0,0,0,sabre_v0_20_dive,fast_layout,0,15,1,1,1,5
118,285,18.315622091293335,0,0,0,0,sabre_v0_20_dive,fast_layout,0,15,1,1,1,6
494,1320,297.63500118255615,0,0,0,0,sabre_v0_20_dive,fast_layout,0,15,1,1,1,7
71,337,21.588401794433594,0,0,0,0,sabre_v0_20_dive,fast_layout,0,15,1,1,1,8
81,327,81.24861407279968,0,0,0,0,sabre_v0_20_dive,fast_layout,0,15,1,1,1,9
185,222,10.205615758895874,0,0,0,0,sabre_v0_20_dive,fast_layout,0,20,1,1,1,0
69,202,8.901270866394043,0,0,0,0,sabre_v0_20_dive,fast_layout,0,20,1,1,1,1
92,176,4.262005090713501,0,0,0,0,sabre_v0_20_dive,fast_layout,0,20,1,1,1,2
131,510,87.42650723457336,0,0,0,0,sabre_v0_20_dive,fast_layout,0,20,1,1,1,3
131,510,87.56554293632507,0,0,0,0,sabre_v0_20_dive,fast_layout,0,20,1,1,1,4
378,1149,616.233302116394,0,0,0,0,sabre_v0_20_dive,fast_layout,0,20,1,1,1,5
97,201,20.443293809890747,0,0,0,0,sabre_v0_20_dive,fast_layout,0,20,1,1,1,6
494,1314,2179.7731029987335,0,0,0,0,sabre_v0_20_dive,fast_layout,0,20,1,1,1,7
71,337,27.306931972503662,0,0,0,0,sabre_v0_20_dive,fast_layout,0,20,1,1,1,8
81,321,106.13213801383972,0,0,0,0,sabre_v0_20_dive,fast_layout,0,20,1,1,1,9
182,222,23.777838945388794,0,0,0,0,sabre_v0_20_dive,fast_layout,0,50,1,1,1,0
69,193,19.380409002304077,0,0,0,0,sabre_v0_20_dive,fast_layout,0,50,1,1,1,1
92,176,10.155916929244995,0,0,0,0,sabre_v0_20_dive,fast_layout,0,50,1,1,1,2
131,510,221.9297480583191,0,0,0,0,sabre_v0_20_dive,fast_layout,0,50,1,1,1,3
131,510,325.54205799102783,0,0,0,0,sabre_v0_20_dive,fast_layout,0,50,1,1,1,4
374,1197,1973.669243812561,0,0,0,0,sabre_v0_20_dive,fast_layout,0,50,1,1,1,5
100,192,56.52738928794861,0,0,0,0,sabre_v0_20_dive,fast_layout,0,50,1,1,1,6
472,1437,2291.337077856064,0,0,0,0,sabre_v0_20_dive,fast_layout,0,50,1,1,1,7
71,301,66.55703496932983,0,0,0,0,sabre_v0_20_dive,fast_layout,0,50,1,1,1,8
78,297,283.8449137210846,0,0,0,0,sabre_v0_20_dive,fast_layout,0,50,1,1,1,9
188,234,64.03904795646667,0,0,0,0,sabre_v0_20_dive,fast_layout,0,100,1,1,1,0
69,187,45.99654293060303,0,0,0,0,sabre_v0_20_dive,fast_layout,0,100,1,1,1,1
92,176,23.26028609275818,0,0,0,0,sabre_v0_20_dive,fast_layout,0,100,1,1,1,2
130,519,557.7311041355133,0,0,0,0,sabre_v0_20_dive,fast_layout,0,100,1,1,1,3
130,519,591.5227310657501,0,0,0,0,sabre_v0_20_dive,fast_layout,0,100,1,1,1,4
372,1143,6403.0525188446045,0,0,0,0,sabre_v0_20_dive,fast_layout,0,100,1,1,1,5
100,192,78.7476077079773,0,0,0,0,sabre_v0_20_dive,fast_layout,0,100,1,1,1,6
472,1473,2058.008773088455,0,0,0,0,sabre_v0_20_dive,fast_layout,0,100,1,1,1,7
71,295,134.58738923072815,0,0,0,0,sabre_v0_20_dive,fast_layout,0,100,1,1,1,8
78,297,476.47386717796326,0,0,0,0,sabre_v0_20_dive,fast_layout,0,100,1,1,1,9
184,210,81.54501986503601,0,0,0,0,sabre_v0_20_dive,fast_layout,0,200,1,1,1,0
69,187,79.27541208267212,0,0,0,0,sabre_v0_20_dive,fast_layout,0,200,1,1,1,1
92,176,43.143696784973145,0,0,0,0,sabre_v0_20_dive,fast_layout,0,200,1,1,1,2
